Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;4.355.174.839;3,132
AZUL4;AZUL;PN N2;326.903.173;0,624
B3SA3;B3;ON NM;1.700.747.480;4,731
BBAS3;BRASIL;ON NM;1.283.197.221;2,187
BBDC3;BRADESCO;ON EJ N1;1.253.093.907;1,399
BBDC4;BRADESCO;PN EJ N1;4.261.649.634;5,354
BBSE3;BBSEGURIDADE;ON NM;671.584.841;0,934
BEEF3;MINERVA;ON NM;259.565.738;0,125
BPAC11;BTGP BANCO;UNT N2;236.093.794;0,931
BRAP4;BRADESPAR;PN N1;222.075.664;0,656
BRDT3;PETROBRAS BR;ON NM;1.164.958.126;1,199
BRFS3;BRF SA;ON NM;811.759.800;0,861
BRKM5;BRASKEM;PNA N1;264.640.575;0,304
BRML3;BR MALLS PAR;ON NM;843.728.684;0,421
BTOW3;B2W DIGITAL;ON NM;208.209.427;0,712
CCRO3;CCR SA;ON NM;1.115.695.556;0,747
CIEL3;CIELO;ON NM;1.112.196.638;0,196
CMIG4;CEMIG;PN N1;969.723.092;0,615
COGN3;COGNA ON;ON NM;1.847.994.874;0,453
CPFE3;CPFL ENERGIA;ON NM;187.714.249;0,282
CRFB3;CARREFOUR BR;ON NM;391.758.726;0,381
CSAN3;COSAN;ON NM;129.314.042;0,486
CSNA3;SID NACIONAL;ON;642.398.790;0,754
CVCB3;CVC BRASIL;ON NM;149.183.975;0,136
CYRE3;CYRELA REALT;ON NM;281.154.098;0,397
ECOR3;ECORODOVIAS;ON NM;171.109.276;0,108
EGIE3;ENGIE BRASIL;ON NM;254.792.279;0,534
ELET3;ELETROBRAS;ON N1;358.018.408;0,558
ELET6;ELETROBRAS;PNB N1;240.019.548;0,385
EMBR3;EMBRAER;ON NM;736.160.905;0,296
ENBR3;ENERGIAS BR;ON NM;294.036.156;0,271
ENGI11;ENERGISA;UNT N2;250.679.709;0,57
EQTL3;EQUATORIAL;ON NM;1.010.286.085;1,087
EZTC3;EZTEC;ON NM;95.756.217;0,197
FLRY3;FLEURY;ON NM;303.800.430;0,384
GGBR4;GERDAU;PN N1;995.903.643;1,161
GNDI3;INTERMEDICA;ON NM;581.199.237;1,995
GOAU4;GERDAU MET;PN N1;693.699.918;0,368
GOLL4;GOL;PN N2;137.716.367;0,161
HAPV3;HAPVIDA;ON EB NM;1.085.228.270;0,767
HGTX3;CIA HERING;ON NM;126.186.408;0,109
HYPE3;HYPERA;ON NM;410.147.968;0,631
IGTA3;IGUATEMI;ON NM;85.796.919;0,16
IRBR3;IRBBRASIL RE;ON NM;1.255.352.371;0,411
ITSA4;ITAUSA;PN ED N1;4.515.538.171;2,442
ITUB4;ITAUUNIBANCO;PN ED N1;4.757.466.114;6,934
JBSS3;JBS;ON NM;1.568.829.515;1,806
KLBN11;KLABIN S/A;UNT N2;637.999.310;0,797
LAME4;LOJAS AMERIC;PN N1;835.033.880;0,941
LREN3;LOJAS RENNER;ON NM;785.417.914;1,728
MGLU3;MAGAZ LUIZA;ON NM;2.675.032.004;2,999
MRFG3;MARFRIG;ON NM;368.864.634;0,261
MRVE3;MRV;ON NM;298.796.441;0,291
MULT3;MULTIPLAN;ON N2;276.848.567;0,326
NTCO3;GRUPO NATURA;ON NM;841.175.531;2,023
PCAR3;P.ACUCAR-CBD;ON NM;156.831.174;0,521
PETR3;PETROBRAS;ON N2;3.509.328.784;4,522
PETR4;PETROBRAS;PN N2;4.566.457.037;5,727
PRIO3;PETRORIO;ON NM;135.160.900;0,354
QUAL3;QUALICORP;ON NM;283.408.928;0,461
RADL3;RAIADROGASIL;ON NM;1.071.470.660;1,311
RAIL3;RUMO S.A.;ON NM;1.348.000.144;1,299
RENT3;LOCALIZA;ON NM;594.568.300;1,906
SANB11;SANTANDER BR;UNT;355.666.691;0,731
SBSP3;SABESP;ON NM;339.999.111;0,776
SULA11;SUL AMERICA;UNT EB N2;284.830.810;0,609
SUZB3;SUZANO S.A.;ON NM;724.921.241;2,041
TAEE11;TAESA;UNT N2;218.568.274;0,353
TIMS3;TIM;ON NM;808.343.726;0,546
TOTS3;TOTVS;ON NM;480.228.410;0,606
UGPA3;ULTRAPAR;ON NM;1.088.225.414;1,134
USIM5;USIMINAS;PNA N1;513.781.576;0,35
VALE3;VALE;ON NM;3.218.796.397;12,813
VIVT3;TELEF BRASIL;ON EJ;415.131.868;0,925
VVAR3;VIAVAREJO;ON NM;1.594.758.941;1,34
WEGE3;WEG;ON NM;674.731.315;2,433
YDUQ3;YDUQS PART;ON NM;300.483.575;0,524
Quantidade Teórica Total;;;74.021.102.414;100
Redutor;;;18.322.788,79;
